Id,String
,
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポーションだ。
Char1Name,勇者
Char2Name,魔法使い
Char3Name,盗賊
Char4Name,戦士
Char5Name,聖職者
Char1Desc,このキャラクターは勇者です.
Char2Desc,このキャラクターは魔法使いです.
Char3Desc,このキャラクターは盗賊です.
Char4Desc,このキャラクターは戦士です.
Char5Desc,このキャラクターは聖職者です.
Char1Attack,50
Char2Attack,30
Char3Attack,25
Char4Attack,50
Char5Attack,15
Char1Defence,30
Char2Defence,45
Char3Defence,60
Char4Defence,25
Char5Defence,80
Char1NameLabel,名
Char2NameLabel,名
Char3NameLabel,名
Char4NameLabel,名
Char5NameLabel,名
Char1DescLabel,説明
Char2DescLabel,説明
Char3DescLabel,説明
Char4DescLabel,説明
Char5DescLabel,説明
Char1AttackLabel,攻撃力
Char2AttackLabel,攻撃力
Char3AttackLabel,攻撃力
Char4AttackLabel,攻撃力
Char5AttackLabel,攻撃力
Char1DefenceLabel,防御力
Char2DefenceLabel,防御力
Char3DefenceLabel,防御力
Char4DefenceLabel,防御力
Char5DefenceLabel,防御力
Name,名
Type,タイプ
Desc,説明
Value,価値
Cost,価格
Weapon,武器
Equip,装備
Consumable,消耗品
